segment_id,lifecycle_stage,goal,template_id,message_title_en,message_body_en,cta_text_en,message_title_hi,message_body_hi,cta_text_hi
0,lifecycle_stage_trial,Conversion,0_lifecycle_stage_trial_T1_Seed,New Rewards,Curious about your rewards?,See,Naye Inaam,Kya aapke rewards hai?,Dekho
0,lifecycle_stage_trial,Conversion,0_lifecycle_stage_trial_T2_Tease,Coins Alert,Your coins balance is growing,Grow,Coins Alert,Aapke coins balance badh raha hai,Badhao
0,lifecycle_stage_trial,Conversion,0_lifecycle_stage_trial_T3_Anchor,Claim Now,Claim your {coins_balance} coins now,Claim,Abhi Claim Karein,Abhi apne {coins_balance} coins claim karein,Claim Karo
0,lifecycle_stage_trial,Conversion,0_lifecycle_stage_trial_T4_Welcome,Welcome Back,You're back! Check your {coins_balance} coins,Check,Swagat Hai,Aap wapas aa gaye! Apne {coins_balance} coins check karein,Check Karo
0,lifecycle_stage_trial,Conversion,0_lifecycle_stage_trial_T5_WrapUp,Daily Recap,You earned {coins_balance} coins today,Done,Aaj Ka Recap,Aaj aapne {coins_balance} coins kamaye,Ho Gaya
0,lifecycle_stage_paid,Retention,0_lifecycle_stage_paid_T1_Seed,New,What's hiding in your {feature_name}?,See,Naya,Aapke {feature_name} mein kya chupa hai?,Dekho
0,lifecycle_stage_paid,Retention,0_lifecycle_stage_paid_T2_Tease,Coins Alert,Your {coins_balance} is growing!,Grow,Coins Alert,Aapka {coins_balance} badh raha hai!,Badhao
0,lifecycle_stage_paid,Retention,0_lifecycle_stage_paid_T3_Anchor,Claim Now,Get more {coins_balance} & customize your profile!,Claim,Abhi Claim Karo,"Aur {coins_balance} kamao, apna profile customize karo!",Claim Karo
0,lifecycle_stage_paid,Retention,0_lifecycle_stage_paid_T4_Welcome,You're Back,Welcome to your {feature_name}! Check your {coins_balance}.,Go,Aap Wapas,Aapka {feature_name}! Aapka {coins_balance} dekho.,Chalo
0,lifecycle_stage_paid,Retention,0_lifecycle_stage_paid_T5_WrapUp,Daily Recap,You earned {coins_balance} today!,Done,Aaj Ka Recap,Aaj aapne {coins_balance} kamaya!,Ho Gaya
0,lifecycle_stage_inactive,Reactivation,0_lifecycle_stage_inactive_T1_Seed,Missed Coins,You're losing coins! {coins_balance} left,Get,Coins Khone Wale Ho,Aapne {coins_balance} coins khone wale ho!,Pao
0,lifecycle_stage_inactive,Reactivation,0_lifecycle_stage_inactive_T2_Tease,Coin Stash,Build your coin stash!,Go,Coin Stash Badhao,Apna coin stash badhao!,Chalo
0,lifecycle_stage_inactive,Reactivation,0_lifecycle_stage_inactive_T3_Anchor,Claim Now,Claim your {coins_balance} coins now!,Now,Abhi Claim Karo,Abhi apne {coins_balance} coins claim karo!,Abhi
0,lifecycle_stage_inactive,Reactivation,0_lifecycle_stage_inactive_T4_Welcome,You're Back,Welcome back! Your {coins_balance} coins await,Play,Aap Wapas Aaye,Aapka swagat hai! Aapke {coins_balance} coins aapke liye intezaar kar rahe hain,Shuru Karen
0,lifecycle_stage_inactive,Reactivation,0_lifecycle_stage_inactive_T5_WrapUp,Today's Gain,You gained {coins_balance} coins today!,See,Aaj Ka Labh,Aaj aapne {coins_balance} coins gain kiye!, Dekho
0,lifecycle_stage_churned,Win-back,0_lifecycle_stage_churned_T1_Seed,Missed Out,"{first_name}, what did you miss?",See,Kya Miss Kiya?,"{first_name}, kya miss kiya?",Dekho
0,lifecycle_stage_churned,Win-back,0_lifecycle_stage_churned_T2_Tease,Rewards Wait,Your {coins_balance} is waiting,Get,Rewards Ka Intezar,Aapka {coins_balance} intezaar kar raha hai,Lo
0,lifecycle_stage_churned,Win-back,0_lifecycle_stage_churned_T3_Anchor,Claim Now,Claim your {coins_balance} now,Now,Abhi Claim Karo,Abhi apna {coins_balance} claim karo,Abhi
0,lifecycle_stage_churned,Win-back,0_lifecycle_stage_churned_T4_Welcome,You're Back,"Welcome back, {first_name}! Check your {coins_balance}",Go,Aap Wapas Aa Gaye,"Aapka swagat hai, {first_name}! Apna {coins_balance} check karo",Chalo
0,lifecycle_stage_churned,Win-back,0_lifecycle_stage_churned_T5_WrapUp,Thanks for Coming Back,"Thanks for coming back, {first_name}!",Done,Wapas Aane Ke Liye Dhanyavad,"Wapas aane ke liye dhanyavad, {first_name}!",Ho Gaya
1,lifecycle_stage_trial,Conversion,1_lifecycle_stage_trial_T1_Seed,Discover More,Explore new strategies with {feature_name},Let's Go,Kuch Naya Dekho,{feature_name} ke saath naye tareeke kholein,Chalo Shuru Karein
1,lifecycle_stage_trial,Conversion,1_lifecycle_stage_trial_T2_Tease,Get Smarter,Unlock {feature_name} for smarter tools,Unlock Now,Smart Banen,{feature_name} ke smarter tools kholein,Abhi Kholein
1,lifecycle_stage_trial,Conversion,1_lifecycle_stage_trial_T3_Anchor,Unlock Your Potential,Discover new strategies with {feature_name} now,Start Now,Apna Potential Kholein,{feature_name} ke saath naye tareeke abhi kholein,Shuru Karein
1,lifecycle_stage_trial,Conversion,1_lifecycle_stage_trial_T4_Welcome,You're In,Welcome to {feature_name}! Start exploring,Explore,Aap Andar Hai,{feature_name} mein aapka swagat hai! Anveshan shuru karein,Anveshan Karein
1,lifecycle_stage_trial,Conversion,1_lifecycle_stage_trial_T5_WrapUp,Great Job,You've made progress with {feature_name} today,Done,Bahut Achha,Aapne aaj {feature_name} ke saath pragati ki,Ho Gaya
1,lifecycle_stage_paid,Retention,1_lifecycle_stage_paid_T1_Seed,New Tools Inside,Discover smarter ways to learn with {feature_name},Explore,Naye Tools Andr,{feature_name} ke saath naye tareeke se seekhein,Jaankaari
